Product Name,Price,Rating,Category,Number of Reviews
A Light in the Attic,51.77,3.0,Books,237
Tipping the Velvet,53.74,1.0,Books,361
Soumission,50.1,1.0,Books,316
Sharp Objects,47.82,4.0,Books,327
Sapiens: A Brief History of Humankind,54.23,5.0,Books,73
The Requiem Red,22.65,1.0,Books,360
The Dirty Little Secrets of Getting Your Dream Job,33.34,4.0,Books,388
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3.0,Books,21
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4.0,Books,34
The Black Maria,52.15,1.0,Books,477
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2.0,Books,479
Shakespeare's Sonnets,20.66,4.0,Books,245
Set Me Free,17.46,5.0,Books,376
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5.0,Books,266
Rip it Up and Start Again,35.02,5.0,Books,297
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3.0,Books,328
Olio,23.88,1.0,Books,182
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1.0,Books,263
Libertarianism for Beginners,51.33,2.0,Books,354
It's Only the Himalayas,45.17,2.0,Books,33
Sports Basic 1,182.7,3.7,Sports,137
Sports Elite 2,88.84,3.2,Sports,111
Furniture Basic 3,249.92,2.5,Furniture,277
Furniture Elite 4,250.83,3.7,Furniture,342
Electronics Pro 5,114.67,2.5,Electronics,55
Sports Elite 6,64.07,3.1,Sports,99
Automotive Standard 7,321.7,4.0,Automotive,47
Toys Premium 8,36.66,3.3,Toys,157
Home & Garden Premium 9,298.28,3.8,Home & Garden,5
Automotive Premium 10,164.34,3.7,Automotive,358
Automotive Pro 11,239.6,4.2,Automotive,248
Sports Standard 12,272.68,4.6,Sports,196
Food & Beverages Deluxe 13,8.16,4.6,Food & Beverages,565
Home & Garden Basic 14,251.07,3.4,Home & Garden,461
Books Pro 15,24.49,3.5,Books,286
Toys Pro 16,43.51,3.8,Toys,474
Clothing Standard 17,140.57,5.0,Clothing,22
Home & Garden Ultra 18,434.22,4.2,Home & Garden,235
Sports Standard 19,198.24,3.0,Sports,221
Automotive Deluxe 20,23.75,2.4,Automotive,196
Beauty Standard 21,174.67,4.5,Beauty,285
Electronics Elite 22,423.87,2.7,Electronics,484
Furniture Ultra 23,505.64,3.6,Furniture,270
Automotive Elite 24,306.15,4.8,Automotive,423
Toys Basic 25,17.32,3.0,Toys,370
Food & Beverages Elite 26,6.58,2.0,Food & Beverages,262
Home & Garden Standard 27,134.6,3.8,Home & Garden,292
Sports Standard 28,22.52,3.1,Sports,214
Furniture Elite 29,58.22,2.2,Furniture,157
Furniture Premium 30,162.01,3.5,Furniture,230
Clothing Premium 31,118.48,4.4,Clothing,673
Toys Classic 32,48.86,3.6,Toys,182
Food & Beverages Standard 33,8.19,2.2,Food & Beverages,238
Home & Garden Basic 34,266.84,1.9,Home & Garden,82
Beauty Standard 35,118.65,4.1,Beauty,40
Beauty Ultra 36,13.44,2.5,Beauty,248
Home & Garden Premium 37,262.71,3.2,Home & Garden,117
Books Pro 38,41.17,4.5,Books,268
Electronics Ultra 39,630.36,3.7,Electronics,5
Books Ultra 40,46.56,4.5,Books,156
Clothing Elite 41,100.36,4.5,Clothing,394
Toys Basic 42,43.58,3.3,Toys,42
Toys Pro 43,34.21,3.8,Toys,248
Beauty Ultra 44,107.04,3.1,Beauty,160
Clothing Pro 45,77.45,2.2,Clothing,64
Automotive Classic 46,189.53,3.3,Automotive,335
Toys Classic 47,78.42,3.6,Toys,293
Furniture Elite 48,1619.78,4.7,Furniture,466
Food & Beverages Pro 49,41.32,4.9,Food & Beverages,576
Electronics Basic 50,613.58,4.6,Electronics,255
Beauty Ultra 51,11.09,2.5,Beauty,177
Automotive Ultra 52,132.09,4.2,Automotive,159
Clothing Basic 53,16.63,3.4,Clothing,361
Sports Ultra 54,275.75,3.8,Sports,308
Toys Pro 55,96.93,4.1,Toys,611
Food & Beverages Basic 56,9.85,2.3,Food & Beverages,237
Toys Basic 57,50.74,3.0,Toys,317
Sports Elite 58,275.6,4.7,Sports,365
Clothing Standard 59,130.47,5.0,Clothing,552
Sports Elite 60,22.7,1.8,Sports,268
Food & Beverages Standard 61,36.05,4.1,Food & Beverages,247
Furniture Premium 62,769.68,2.9,Furniture,267
Beauty Ultra 63,53.87,3.5,Beauty,435
Electronics Basic 64,153.03,3.4,Electronics,284
Toys Pro 65,12.31,2.9,Toys,259
Clothing Standard 66,66.63,3.2,Clothing,105
Automotive Premium 67,289.35,3.9,Automotive,492
Food & Beverages Classic 68,19.97,3.7,Food & Beverages,373
Home & Garden Pro 69,266.62,3.0,Home & Garden,455
Books Standard 70,42.61,3.9,Books,121
Toys Basic 71,26.09,3.3,Toys,5
Toys Premium 72,28.97,3.1,Toys,251
Electronics Elite 73,808.3,3.9,Electronics,42
Furniture Deluxe 74,1364.02,4.8,Furniture,716
Clothing Ultra 75,50.75,2.7,Clothing,403
Food & Beverages Pro 76,38.75,4.8,Food & Beverages,485
Food & Beverages Basic 77,4.1,2.2,Food & Beverages,322
Food & Beverages Standard 78,23.29,3.4,Food & Beverages,134
Sports Elite 79,264.65,4.7,Sports,338
Home & Garden Elite 80,428.65,3.7,Home & Garden,342
Toys Classic 81,35.37,3.9,Toys,461
Furniture Classic 82,1157.17,2.5,Furniture,410
Sports Classic 83,141.59,3.1,Sports,185
Clothing Classic 84,73.27,4.3,Clothing,417
Sports Premium 85,100.08,3.0,Sports,389
Furniture Ultra 86,212.02,1.4,Furniture,521
Toys Elite 87,12.05,2.2,Toys,354
Clothing Elite 88,59.16,4.0,Clothing,321
Books Standard 89,34.5,4.3,Books,314
Home & Garden Ultra 90,260.27,4.9,Home & Garden,353
Sports Ultra 91,51.13,3.5,Sports,198
Toys Pro 92,59.11,3.7,Toys,532
Clothing Pro 93,84.13,4.0,Clothing,21
Furniture Basic 94,485.68,2.4,Furniture,243
Sports Standard 95,28.61,2.2,Sports,466
Furniture Basic 96,1061.99,4.2,Furniture,211
Books Premium 97,42.47,3.5,Books,204
Toys Ultra 98,82.29,4.2,Toys,330
Beauty Basic 99,149.14,4.0,Beauty,186
Food & Beverages Elite 100,25.43,4.0,Food & Beverages,283
Food & Beverages Basic 1,2.63,2.7,Food & Beverages,328
Food & Beverages Elite 2,4.32,2.5,Food & Beverages,335
Beauty Elite 3,56.73,3.4,Beauty,127
Automotive Deluxe 4,412.34,5.0,Automotive,246
Food & Beverages Ultra 5,32.57,4.0,Food & Beverages,399
Automotive Ultra 6,159.83,3.7,Automotive,390
Books Premium 7,16.55,2.1,Books,390
Automotive Pro 8,155.81,3.1,Automotive,358
Electronics Elite 9,497.32,2.9,Electronics,74
Home & Garden Elite 10,426.16,4.5,Home & Garden,314
Beauty Deluxe 11,51.87,3.3,Beauty,85
Electronics Standard 12,712.7,3.7,Electronics,276
Sports Elite 13,183.49,3.5,Sports,366
Home & Garden Deluxe 14,146.51,3.0,Home & Garden,292
Books Basic 15,14.6,3.6,Books,294
Books Premium 16,21.03,3.5,Books,308
Furniture Ultra 17,1728.27,3.0,Furniture,262
Electronics Deluxe 18,804.51,4.6,Electronics,447
Books Deluxe 19,20.87,3.2,Books,240
Books Elite 20,25.95,2.8,Books,208
Home & Garden Standard 21,341.82,4.0,Home & Garden,208
